Study,Arm,Dose,DV,DV_CHR,Unit_DV,Type_DV,Type_VAR,VAR,LVAR,UVAR,Source
NCT03549871,fitusiran 80 mg QM,80 mg,24.8,Age at baseline mean,y,mean,SD,11.2,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,23,Age at baseline median,y,median,IQR,,16,29,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,19 (29.2%),Age 12-17y,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,45 (69.2%),Age 18-64y,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,1 (1.5%),Age ≥65y,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,65 (100%),Sex male,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,50 (76.9%),Hemophilia A,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,15 (23.1%),Hemophilia B,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,70.7,Weight mean,kg,mean,SD,15.5,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,23.6,BMI mean,kg/m2,mean,SD,4.2,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,42 (64.6%),Race White,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,20 (30.8%),Race Asian,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,1 (1.5%),Race Black/African American,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,2 (3.1%),Race Other,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,0,Region North America,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,43 (66.2%),Region Europe,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,20 (30.8%),Region Asia,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,2 (3.1%),Region Other,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,NR,Bleeding episodes last 6m mean,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,NR,Bleeding episodes last 12m mean,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,1 (1.5%),Highest inhibitor titer <5BU/mL,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,18 (27.7%),Highest inhibitor titer ≥5BU/mL,,,,,,,Kenet_etal2024
NCT03549871,fitusiran 80 mg QM,80 mg,0,Target joints median,,median,IQR,,,,Kenet_etal2024
